symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21_current,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,golden_st,death_st,cross_days_ago_st,status
CTVA,golden_cross,0,3.5,45.8,,66.39,66.33,True,False,69.37,False,False,,success
DHI,death_cross,0,3.0,42.6,,150.73,150.75,False,True,144.5,False,False,,success
MCHP,golden_cross,0,8.9,36.2,,63.23,63.2,True,False,74.87,False,False,,success
RRX,golden_cross,0,0.7,9.9,,143.83,143.47,True,False,157.63,False,False,,success
KT,golden_cross,0,1.8,9.2,,18.78,18.78,True,False,19.21,False,False,,success
TFII,golden_cross,0,0.3,9.1,,98.03,97.81,True,False,108.46,False,False,,success
MIDD,golden_cross,0,0.8,7.6,,137.68,137.54,True,False,156.45,False,False,,success
EAT,golden_cross,0,1.3,6.6,,140.44,139.98,True,False,155.95,False,False,,success
CSHI,death_cross,0,0.3,,,49.77,49.77,False,True,49.75,False,False,,success
XOP,death_cross,0,2.4,,,129.19,129.28,False,True,125.54,False,False,,success
PANW,death_cross,0,5.9,126.9,,193.29,193.47,False,True,185.86,False,False,,success
DE,golden_cross,0,1.6,126.1,,473.07,472.79,True,False,485.98,False,False,,success
LMT,golden_cross,0,1.4,118.4,,477.62,476.32,True,False,522.04,False,False,,success
