symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,status
ETN,golden_cross,0,3.1,146.5,345.73,344.94,True,False,377.47,success
DUK,golden_cross,0,4.0,94.7,119.88,119.84,True,False,123.64,success
SHW,golden_cross,0,1.8,89.4,346.8,346.72,True,False,364.65,success
CL,golden_cross,0,7.2,75.9,84.71,84.68,True,False,93.93,success
ALNY,death_cross,0,1.5,42.3,379.53,380.56,False,True,322.98,success
SSNC,death_cross,0,1.8,18.7,83.54,83.74,False,True,75.28,success
J,golden_cross,0,0.8,17.7,140.49,140.18,True,False,151.16,success
ALGN,golden_cross,0,1.1,13.8,164.06,164.0,True,False,196.27,success
BRX,golden_cross,0,2.9,8.6,26.59,26.55,True,False,28.83,success
MHK,golden_cross,0,0.8,8.2,119.61,119.42,True,False,136.9,success
NEU,golden_cross,0,0.2,6.7,706.83,706.77,True,False,719.25,success
HR,golden_cross,0,3.4,6.0,17.11,17.11,True,False,17.36,success
EPHE,golden_cross,0,0.2,,25.79,25.79,True,False,26.93,success
IYR,golden_cross,0,7.1,,95.76,95.74,True,False,99.32,success
TDTF,golden_cross,0,0.2,,24.07,24.07,True,False,24.17,success
XTEN,golden_cross,0,0.1,,46.35,46.35,True,False,46.575,success
HYLS,death_cross,0,0.4,,41.75,41.75,False,True,41.45,success
JOBY.WS,death_cross,0,0.1,,4.13,4.19,False,True,2.07,success
RDTL,death_cross,0,0.5,,40.65,40.74,False,True,19.81,success
SKYY,death_cross,0,0.2,,124.76,124.91,False,True,115.78,success
XHLF,death_cross,0,0.5,,50.31,50.31,False,True,50.27,success
