symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
HLT,golden_st,1.8,69.7,301.19,300.8,282.76,308.26
MPWR,golden_st,0.6,53.7,1084.35,1082.82,953.94,1119.51
FNV,golden_st,0.9,47.6,244.69,244.52,212.82,255.49
YUM,death_st,1.8,43.0,157.81,157.94,152.09,153.7
JD,golden_st,11.4,40.5,28.29,28.27,30.65,28.87
CHT,death_st,0.2,32.8,42.56,42.57,42.38,42.39
CHD,death_st,2.1,22.1,96.11,96.12,94.3,92.85
RGC,golden_st,0.2,12.6,26.04,25.92,19.97,33.72
KRMN,death_st,2.3,10.6,92.33,92.33,75.36,82.69
BVN,golden_st,1.8,9.2,35.14,35.13,27.8,37.18
VFS,golden_st,0.5,9.0,3.3,3.26,3.37,4.1
BPOP,golden_st,0.6,8.7,133.12,132.96,122.99,136.44
R,golden_st,0.4,8.0,201.28,201.27,186.85,206.86
BOKF,golden_st,0.4,7.8,126.68,126.68,117.89,128.09
LBRDA,death_st,0.2,7.2,50.96,51.0,58.26,50.2
FLR,golden_st,2.9,6.7,46.48,46.47,45.52,47.55
CRK,death_st,2.1,6.2,21.08,21.12,20.83,19.22
MIRM,golden_st,1.0,5.6,91.57,91.57,77.18,94.62
TFX,golden_st,0.9,5.3,112.22,112.09,121.09,118.42
WIX,golden_st,3.2,5.3,87.02,86.91,115.9,90.5
APLS,golden_st,6.2,5.1,22.4,21.77,22.66,40.39
CSHI,golden_st,0.3,,49.68,49.68,49.73,49.78
FLSP,golden_st,0.2,,27.13,27.12,26.36,27.44
FNDF,golden_st,2.0,,48.77,48.74,45.03,49.48
NFXL,golden_st,0.9,,28.52,28.49,37.97,29.71
XBI,golden_st,10.6,,123.74,123.74,112.18,128.55
BILZ,death_st,0.3,,100.86,100.86,100.93,100.67
ETHD,death_st,0.7,,65.76,65.92,93.51,60.41
MINT,death_st,1.7,,100.51,100.52,100.49,100.28
MULL,death_st,0.5,,146.68,147.77,94.48,125.66
MUU,death_st,2.6,,166.08,167.17,106.96,141.77
SHLD,golden_st,2.3,,73.38,73.38,66.57,73.48
IBTG,death_st,0.4,,22.89,22.89,22.89,22.845
IDXX,death,0.5,44.6,585.05,616.03,616.56,564.66
EL,death,5.1,26.0,82.11,92.63,92.81,70.71
SGI,death,2.5,15.5,76.8,82.14,82.2,73.61
SCI,golden,1.2,11.7,80.25,80.37,80.31,82.86
BLD,death,0.4,9.9,375.88,412.9,413.31,369.16
CR,death,0.4,9.9,177.06,184.91,185.26,172.92
ORI,death,2.1,9.8,39.96,40.82,40.83,39.61
MVLL,golden,0.5,,22.95,21.51,21.25,29.89
PDBA,golden,0.2,,35.77,35.29,35.27,36.17
TBF,golden,0.1,,24.17,24.03,24.02,24.27
BSV,death,2.9,,78.4,78.6,78.61,78.16
CGGR,death,4.3,,41.13,42.25,42.26,40.6
FLTR,death,0.8,,25.47,25.49,25.5,25.38
GFLW,death,0.2,,26.7,27.22,27.23,26.7
GPIQ,death,1.0,,50.22,51.13,51.18,49.59
GTO,death,0.3,,47.0,47.27,47.27,46.88
IBDU,death,0.8,,23.25,23.33,23.33,23.18
IGSB,death,4.4,,52.56,52.73,52.74,52.41
ISTB,death,0.5,,48.47,48.61,48.62,48.3
KNG,death,0.3,,49.34,50.09,50.1,48.7
MFSB,death,0.3,,25.02,25.15,25.15,24.93
MYCH,death,0.3,,24.94,25.01,25.01,24.87
SCHI,death,3.3,,22.7,22.84,22.85,22.6
TCAF,death,0.9,,36.06,36.84,36.84,35.75
VCRB,death,0.4,,77.45,77.82,77.83,77.13
VCSH,death,6.3,,79.25,79.5,79.51,79.04
CLIP,death,0.4,,100.25,100.24,100.25,100.07
