symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21_current,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,golden_st,death_st,cross_days_ago_st,status
NVDA,golden_st,0,169.8,4775.2,183.18,182.51,175.64,False,False,198.87,True,False,0.0,success
GOOG,golden_st,0,19.1,3999.0,307.98,307.07,276.11,False,False,334.47,True,False,0.0,success
JPM,golden_st,0,10.4,833.6,300.17,300.16,297.0,False,False,305.93,True,False,0.0,success
BAC,golden_st,0,40.8,381.2,50.74,50.73,50.47,False,False,54.32,True,False,0.0,success
GS,golden_st,0,2.3,268.3,868.8,867.73,813.61,False,False,899.49,True,False,0.0,success
ICE,golden_st,0,3.2,91.8,161.61,161.44,163.69,False,False,165.07,True,False,0.0,success
ING,golden_st,0,3.3,84.4,27.52,27.47,25.72,False,False,29.52,True,False,0.0,success
ABNB,golden_st,0,3.6,80.2,129.78,129.37,128.82,False,False,137.51,True,False,0.0,success
MDLZ,death_st,0,10.0,74.2,57.8,57.86,59.48,False,False,56.58,False,True,0.0,success
TEL,golden_st,0,1.9,69.5,218.29,217.68,211.09,False,False,234.15,True,False,0.0,success
AFL,golden_st,0,2.3,57.7,110.63,110.58,109.48,False,False,112.98,True,False,0.0,success
PSA,golden_st,0,1.3,53.4,287.45,286.75,288.13,False,False,299.83,True,False,0.0,success
NRG,golden_st,0,2.8,36.3,158.69,158.36,153.68,False,False,168.45,True,False,0.0,success
CRDO,golden_st,0,7.4,29.4,118.35,118.22,120.02,False,False,168.35,True,False,0.0,success
PAAS,golden_st,0,7.3,24.5,55.98,55.98,46.44,False,False,57.34,True,False,0.0,success
ZBH,golden_st,0,2.0,18.7,92.4,92.34,94.97,False,False,94.2,True,False,0.0,success
LAMR,golden_st,0,0.6,13.7,130.91,130.85,127.86,False,False,134.37,True,False,0.0,success
MLI,golden_st,0,0.7,13.7,116.21,116.14,107.6,False,False,120.66,True,False,0.0,success
ALLY,golden_st,0,3.6,13.1,40.39,40.39,40.35,True,False,42.24,True,False,0.0,success
DY,golden_st,0,0.5,11.8,371.07,369.75,323.13,False,False,395.0,True,False,0.0,success
GME,golden_st,0,6.1,10.8,23.39,23.33,23.62,False,False,24.79,True,False,0.0,success
CIFR,golden_st,0,24.8,7.5,15.44,15.37,13.6,False,False,18.0,True,False,0.0,success
PRMB,golden_st,0,4.6,7.2,19.42,19.41,21.47,False,False,19.75,True,False,0.0,success
SFM,death_st,0,2.2,7.1,76.7,76.77,97.42,False,False,74.93,False,True,0.0,success
EPRT,golden_st,0,2.2,6.8,31.92,31.9,31.42,False,False,32.67,True,False,0.0,success
GBCI,golden_st,0,1.0,6.2,46.34,46.31,46.39,False,False,47.75,True,False,0.0,success
PIPR,golden_st,0,0.7,6.2,80.0,79.73,80.72,False,False,88.58,True,False,0.0,success
AX,golden_st,0,0.4,5.3,89.42,89.14,85.8,False,False,94.77,True,False,0.0,success
OZK,golden_st,0,1.3,5.3,46.65,46.64,47.31,False,False,47.88,True,False,0.0,success
ACWI,golden_st,0,6.0,,142.74,142.59,138.44,False,False,148.8,True,False,0.0,success
AFLG,golden_st,0,0.1,,39.69,39.61,38.67,False,False,41.16,True,False,0.0,success
AGIX,golden_st,0,0.2,,34.6,34.6,34.24,False,False,37.42,True,False,0.0,success
AOA,golden_st,0,0.2,,90.48,90.46,88.17,False,False,93.44,True,False,0.0,success
ASHR,golden_st,0,6.1,,33.31,33.28,32.0,False,False,34.35,True,False,0.0,success
BBEU,golden_st,0,0.6,,74.57,74.49,71.61,False,False,77.19,True,False,0.0,success
BITQ,golden_st,0,0.2,,20.8,20.69,21.11,False,False,23.48,True,False,0.0,success
BKIE,golden_st,0,0.2,,95.72,95.56,91.48,False,False,98.76,True,False,0.0,success
CGGO,golden_st,0,1.3,,35.15,35.14,34.17,False,False,37.07,True,False,0.0,success
CGNG,golden_st,0,0.6,,32.84,32.78,31.35,False,False,34.53,True,False,0.0,success
CGXU,golden_st,0,1.0,,30.5,30.48,29.57,False,False,32.01,True,False,0.0,success
CNEQ,golden_st,0,0.3,,33.02,32.99,32.43,False,False,35.99,True,False,0.0,success
COPP,golden_st,0,0.2,,37.82,37.64,32.75,False,False,41.15,True,False,0.0,success
COPX,golden_st,0,4.5,,80.26,80.13,68.45,False,False,86.08,True,False,0.0,success
DCOR,golden_st,0,0.1,,74.1,74.07,72.16,False,False,76.8507,True,False,0.0,success
DFAC,golden_st,0,3.5,,39.97,39.95,38.85,False,False,41.42,True,False,0.0,success
DFGR,golden_st,0,0.4,,27.49,27.44,27.19,False,False,28.36,True,False,0.0,success
DMXF,golden_st,0,0.1,,77.75,77.62,76.04,False,False,81.0778,True,False,0.0,success
DRN,golden_st,0,1.3,,9.45,9.41,9.49,False,False,10.27,True,False,0.0,success
