event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-06-17,MHK,golden_st,38.93,75.0,-36.07,SKIP,1
2026-06-17,FOX,death_st,37.13,75.0,-37.87,SKIP,2
2026-06-17,NDAQ,death_st,35.42,75.0,-39.58,SKIP,3
2026-06-17,UHAL.B,golden,34.86,70.0,-35.14,SKIP,4
2026-06-17,WFRD,death_st,33.76,75.0,-41.24,SKIP,5
2026-06-17,DDS,death_st,30.65,75.0,-44.35,SKIP,6
2026-06-17,EQNR,death_st,28.19,75.0,-46.81,SKIP,7
2026-06-17,DE,golden_st,26.55,75.0,-48.45,SKIP,8
2026-06-17,BBUC,death,25.37,70.0,-44.63,SKIP,9
2026-06-17,SFD,death_st,25.05,75.0,-49.95,SKIP,10
2026-06-17,OILK,death_st,24.9,75.0,-50.1,SKIP,11
2026-06-17,OMF,golden_st,24.78,75.0,-50.22,SKIP,12
2026-06-17,WMG,death_st,23.42,75.0,-51.58,SKIP,13
2026-06-17,LNC,golden_st,22.88,75.0,-52.12,SKIP,14
2026-06-17,CWEN,death_st,22.32,75.0,-52.68,SKIP,15
2026-06-17,VRTX,golden_st,21.68,75.0,-53.32,SKIP,16
2026-06-17,MSFD,golden_st,20.87,75.0,-54.13,SKIP,17
2026-06-17,PPL,death,20.71,70.0,-49.29,SKIP,18
2026-06-17,ARCC,death_st,20.2,75.0,-54.8,SKIP,19
2026-06-17,FMS,golden_st,20.09,75.0,-54.91,SKIP,20
2026-06-17,GLPI,death_st,19.48,75.0,-55.52,SKIP,21
2026-06-17,VMC,golden_st,18.9,75.0,-56.1,SKIP,22
2026-06-17,IYE,death_st,18.56,75.0,-56.44,SKIP,23
2026-06-17,XLE,death_st,18.56,75.0,-56.44,SKIP,24
2026-06-17,RSPG,death_st,17.85,75.0,-57.15,SKIP,25
2026-06-17,TTE,death_st,17.41,75.0,-57.59,SKIP,26
2026-06-17,COMT,death_st,15.76,75.0,-59.24,SKIP,27
2026-06-17,BCE,death_st,14.38,75.0,-60.62,SKIP,28
2026-06-17,ET,death_st,13.5,75.0,-61.5,SKIP,29
2026-06-17,RJF,golden_st,12.95,75.0,-62.05,SKIP,30
2026-06-17,PDBC,death_st,12.91,75.0,-62.09,SKIP,31
2026-06-17,DBC,death_st,12.64,75.0,-62.36,SKIP,32
2026-06-17,FAN,death_st,12.13,75.0,-62.87,SKIP,33
2026-06-17,NORW,death_st,10.88,75.0,-64.12,SKIP,34
