symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
BSBR,golden,1,4.7,43.5,5.84,5.71,5.7,5.95
CBRE,death_st,1,1.5,40.1,143.52,143.79,144.03,139.32
HIG,death_st,3,1.3,36.6,137.06,137.51,135.49,133.14
EQT,death_st,0,6.3,31.5,53.5,53.51,54.89,50.35
WSM,death_st,0,1.1,25.7,227.88,228.28,209.99,218.92
FWONK,death_st,1,1.9,23.9,97.62,97.9,94.69,94.17
SIRI,death_st,1,3.7,9.6,28.86,28.95,26.45,27.74
QGEN,golden,0,2.8,8.9,42.94,42.13,42.1,44.38
SGHC,death_st,0,2.2,6.8,13.61,13.65,12.62,12.8
UDOW,death_st,0,1.5,,70.37,70.54,63.7,66.61
