event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-05-19,PIIIW,golden,48.45,70.0,-21.55,SKIP,1
2026-05-19,FTAI,death_st,44.61,75.0,-30.39,SKIP,2
2026-05-19,TEX,death_st,43.96,75.0,-31.04,SKIP,3
2026-05-19,ICL,golden,41.74,70.0,-28.26,SKIP,4
2026-05-19,LI,death_st,41.37,75.0,-33.63,SKIP,5
2026-05-19,WMG,golden,40.14,70.0,-29.86,SKIP,6
2026-05-19,SMMT,death_st,37.34,75.0,-37.66,SKIP,7
2026-05-19,CCJ,death_st,36.14,75.0,-38.86,SKIP,8
2026-05-19,UEC,death_st,35.87,75.0,-39.13,SKIP,9
2026-05-19,NXE,death_st,33.21,75.0,-41.79,SKIP,10
2026-05-19,BVN,death_st,32.62,75.0,-42.38,SKIP,11
2026-05-19,FIVE,death_st,28.6,75.0,-46.4,SKIP,12
2026-05-19,SNPS,golden,28.56,70.0,-41.44,SKIP,13
2026-05-19,PKG,death_st,27.56,75.0,-47.44,SKIP,14
2026-05-19,MSI,death,26.36,70.0,-43.64,SKIP,15
2026-05-19,GATX,death_st,25.51,75.0,-49.49,SKIP,16
2026-05-19,TKC,death_st,25.42,75.0,-49.58,SKIP,17
2026-05-19,WH,death_st,24.0,75.0,-51.0,SKIP,18
2026-05-19,DE,death_st,23.19,75.0,-51.81,SKIP,19
2026-05-19,UHAL.B,death_st,22.71,75.0,-52.29,SKIP,20
2026-05-19,EIX,golden_st,22.25,75.0,-52.75,SKIP,21
2026-05-19,BLD,death_st,21.25,75.0,-53.75,SKIP,22
2026-05-19,EWZ,death_st,20.95,75.0,-54.05,SKIP,23
2026-05-19,TDY,death_st,20.31,75.0,-54.69,SKIP,24
2026-05-19,XEL,death_st,18.79,75.0,-56.21,SKIP,25
2026-05-19,SYF,death_st,17.45,75.0,-57.55,SKIP,26
2026-05-19,AEE,death_st,17.37,75.0,-57.63,SKIP,27
2026-05-19,CIBR,golden,16.81,70.0,-53.19,SKIP,28
2026-05-19,FITB,death_st,15.99,75.0,-59.01,SKIP,29
2026-05-19,STRC,death_st,15.19,75.0,-59.81,SKIP,30
2026-05-19,SUI,death,15.03,70.0,-54.97,SKIP,31
2026-05-19,USB,death_st,13.8,75.0,-61.2,SKIP,32
2026-05-19,FSEC,death,13.58,70.0,-56.42,SKIP,33
2026-05-19,SCMB,death,13.05,70.0,-56.95,SKIP,34
2026-05-19,EQR,golden,9.47,70.0,-60.53,SKIP,35
2026-05-19,FLTR,golden,8.06,70.0,-61.94,SKIP,36
2026-05-19,IBDR,golden,6.57,70.0,-63.43,SKIP,37
