symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
ABBV,death,0,7.1,362.8,208.48,214.02,214.33,200.95
CVNA,golden,0,2.9,57.3,359.82,351.98,350.87,403.02
WST,golden,0,0.9,19.8,266.28,257.81,257.49,309.7
CR,death,0,0.5,10.7,183.55,185.03,185.13,180.42
URBN,golden,0,1.6,6.4,69.37,68.22,68.08,73.85
MTG,golden,0,1.8,6.0,27.36,27.04,27.0,28.77
ESNT,golden,0,0.7,5.9,61.14,60.72,60.7,64.55
BMA,death,0,0.3,5.2,78.28,79.1,79.17,74.51
AVL,golden,0,0.4,,47.65,43.45,43.19,59.42
COWG,golden,0,0.5,,35.22,34.94,34.92,36.0626
FLHY,golden,0,0.5,,24.31,24.31,24.31,24.38
METD,death,0,0.3,,15.92,16.18,16.18,15.3
EBND,death,0,0.5,,21.13,21.15,21.15,21.13
